O*NET-SOC Code,Title,Thinking Creatively Combined,Originality Combined,Fluency of Ideas Combined,Technology Design Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined"
17-2161.00,Nuclear Engineers,3.063471428571429,2.3192,2.571428571428571,1.7734857142857143,2.3482857142857148
17-2171.00,Petroleum Engineers,3.3947000000000003,2.3192,2.571428571428571,1.4017857142857142,2.014
17-2199.03,"Energy Engineers, Except Wind and Solar",3.527242857142857,2.1635714285714283,2.1635714285714283,1.3392000000000002,1.9610714285714288
17-2199.05,Mechatronics Engineers,3.187428571428572,2.4008000000000003,2.4285714285714284,2.096342857142857,3.5985714285714288
17-2199.06,Microsystems Engineers,3.25,2.4285714285714284,2.4971428571428573,1.5165142857142857,3.148528571428572
17-2199.07,Photonics Engineers,3.481657142857143,2.8150000000000004,2.6696428571428568,2.2471428571428573,3.1103714285714283
17-2199.08,Robotics Engineers,3.924714285714286,2.9008000000000003,2.6950857142857143,2.4008000000000003,3.5978428571428576
17-2199.09,Nanosystems Engineers,3.7307,2.7207142857142856,2.542057142857143,2.1750857142857143,2.4176
17-2199.10,Wind Energy Engineers,2.434085714285714,2.096342857142857,2.06,1.5165142857142857,2.4619857142857144
17-2199.11,Solar Energy Systems Engineers,2.0928571428571425,2.3857142857142857,2.596342857142857,1.4464285714285716,2.9846857142857144
17-3011.00,Architectural and Civil Drafters,2.883971428571429,2.0608,2.105,1.3785714285714286,3.7924
17-3012.00,Electrical and Electronics Drafters,2.201928571428572,1.8057142857142856,1.837942857142857,1.3125,4.006428571428572
17-3013.00,Mechanical Drafters,3.032028571428571,2.086428571428572,2.044642857142857,1.542142857142857,4.0051000000000005
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,2.3923,1.8057142857142856,1.8914285714285717,1.2208,2.1212285714285715
17-3022.00,Civil Engineering Technologists and Technicians,2.2948142857142857,1.822857142857143,1.8914285714285717,1.0803571428571428,2.3908000000000005
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,2.713857142857143,1.9285714285714288,1.8914285714285717,1.231428571428571,2.6227714285714283
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,2.399142857142857,1.8914285714285717,1.8914285714285717,1.24,2.223628571428572
17-3024.01,Robotics Technicians,2.765028571428571,1.9285714285714288,1.9449142857142856,1.7200000000000002,2.8954
17-3025.00,Environmental Engineering Technologists and Technicians,1.8019000000000005,1.8571428571428568,1.8914285714285717,1.268571428571429,1.5382
17-3026.00,Industrial Engineering Technologists and Technicians,3.2274,2.1635714285714283,2.205357142857143,1.8914285714285717,3.2134285714285715
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.8034285714285714,2.023657142857143,2.1635714285714283,1.3571428571428572,2.142142857142857
17-3027.00,Mechanical Engineering Technologists and Technicians,2.6347428571428573,1.9842857142857144,1.9449142857142856,1.4691999999999998,3.064
17-3027.01,Automotive Engineering Technicians,2.4148000000000005,1.9285714285714288,2.0,1.25,2.101257142857143
17-3029.01,Non-Destructive Testing Specialists,2.625,1.6171428571428572,1.7200000000000002,1.0942857142857143,2.449
17-3029.08,Photonics Technicians,2.273742857142857,1.6665142857142858,1.75,1.3571428571428572,1.6911428571428573
17-3031.00,Surveying and Mapping Technicians,1.8757857142857144,1.625,1.8914285714285717,1.1071428571428572,2.1484
19-1011.00,Animal Scientists,3.596628571428572,2.2471428571428573,2.524285714285714,1.1408,1.1794
19-1012.00,Food Scientists and Technologists,3.148771428571429,2.4971428571428573,2.6185714285714288,1.1408,1.522342857142857
19-1013.00,Soil and Plant Scientists,3.405142857142857,2.645714285714285,2.4714285714285715,1.1607142857142858,1.3495
19-1021.00,Biochemists and Biophysicists,4.4017857142857135,2.8150000000000004,2.866071428571429,1.4608,2.26
19-1022.00,Microbiologists,2.8018857142857145,2.326514285714285,2.6185714285714288,1.1734857142857142,1.6291857142857142
19-1023.00,Zoologists and Wildlife Biologists,2.9337142857142857,2.0028571428571427,2.105,1.1785714285714286,1.3107142857142855
19-1029.01,Bioinformatics Scientists,4.372285714285715,2.6696428571428568,2.6950857142857143,1.3785714285714286,1.4874571428571428
19-1029.02,Molecular and Cellular Biologists,3.625342857142857,2.7678571428571432,2.6950857142857143,1.2857142857142856,1.2792571428571429
19-1029.03,Geneticists,3.4781714285714287,2.571428571428571,2.6950857142857143,1.1408,1.142628571428571
19-1029.04,Biologists,3.0498285714285718,2.1750857142857143,2.4971428571428573,1.0549142857142857,1.7309714285714284
19-1031.00,Conservation Scientists,2.4490285714285718,2.1635714285714283,2.1635714285714283,1.1408,1.624642857142857
19-1031.02,Range Managers,2.9694285714285718,2.1635714285714283,2.205357142857143,1.062857142857143,1.503485714285714
19-1031.03,Park Naturalists,3.402357142857143,1.9842857142857144,2.044642857142857,1.1339285714285714,1.2404285714285714
19-1032.00,Foresters,2.254,2.1635714285714283,2.0342857142857143,1.3008,1.8391857142857144
19-1041.00,Epidemiologists,3.4080285714285714,2.6950857142857143,2.765714285714286,1.0206285714285714,1.0310857142857144
19-1042.00,"Medical Scientists, Except Epidemiologists",4.030685714285714,2.2857142857142856,2.2857142857142856,1.0803571428571428,1.1485714285714286
19-2011.00,Astronomers,3.6763857142857135,2.6185714285714288,2.6696428571428568,1.2857142857142856,1.322857142857143
19-2012.00,Physicists,3.7811428571428567,3.34,3.282057142857143,1.845,1.7291
19-2021.00,Atmospheric and Space Scientists,3.109714285714286,1.8914285714285717,2.125,1.147857142857143,1.1975
19-2031.00,Chemists,2.477542857142857,1.9657142857142855,2.096342857142857,1.0885714285714283,1.626642857142857
19-2032.00,Materials Scientists,3.3049285714285714,2.3242857142857147,2.3192,1.2036571428571428,1.7498285714285715
19-2041.00,"Environmental Scientists and Specialists, Including Health",2.1283142857142856,2.096342857142857,2.096342857142857,1.1885714285714286,1.3379
19-2041.01,Climate Change Policy Analysts,2.760357142857143,2.06,1.9449142857142856,1.1408,1.022657142857143
19-2041.02,Environmental Restoration Planners,3.013428571428572,2.1750857142857143,2.3192,1.231428571428571,1.5217
19-2041.03,Industrial Ecologists,3.2099,2.36,2.36,1.2036571428571428,1.221228571428571
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3.525714285714286,2.023657142857143,2.3192,1.0664285714285715,1.5418428571428573
19-2043.00,Hydrologists,3.204071428571429,2.3242857142857147,2.4714285714285715,1.0885714285714283,1.399
