O*NET-SOC Code,Title,Analyzing Data or Information Combined,Documenting/Recording Information Combined,E-Mail,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined",Getting Information Combined,Information Ordering Combined,Interpreting the Meaning of Information for Others Combined,Processing Information Combined,Programming Combined,Working with Computers Combined
13-2022.00,Appraisers of Personal and Business Property,3.6071428571428577,3.0979428571428573,4.73,2.708342857142857,3.713828571428572,2.354914285714286,2.4633142857142856,3.5785714285714287,1.0992,2.704685714285714
13-2023.00,Appraisers and Assessors of Real Estate,3.3563428571428573,2.9175,5.0,1.872228571428572,3.5650285714285714,1.9842857142857144,2.6242857142857146,3.416628571428572,1.0885714285714283,2.8002285714285717
13-2031.00,Budget Analysts,3.0511,2.599342857142857,5.0,1.6386714285714286,3.3744714285714283,2.4732142857142856,1.9275714285714287,3.378514285714286,1.0942857142857143,2.894114285714286
13-2041.00,Credit Analysts,3.92,2.228857142857142,5.0,1.5142857142857142,3.5315714285714286,2.354914285714286,2.48,3.5257142857142862,1.0885714285714283,2.5525
13-2052.00,Personal Financial Advisors,3.965028571428571,2.8717714285714284,4.85,2.0162285714285715,3.919057142857143,2.105,3.076428571428572,3.6988,1.0549142857142857,3.0065142857142857
13-2053.00,Insurance Underwriters,3.3372999999999995,2.5362857142857145,5.0,1.575842857142857,3.584,2.023657142857143,2.1445,3.101571428571429,1.0535714285714286,2.3981000000000003
13-2061.00,Financial Examiners,3.755657142857143,2.9456,4.96,1.4979142857142858,3.801428571428572,2.524285714285714,2.6309714285714287,3.169257142857143,1.0885714285714283,2.4037428571428574
13-2071.00,Credit Counselors,2.4854857142857143,2.956514285714285,4.84,1.1659428571428572,3.298742857142857,2.0028571428571427,1.848,2.651885714285714,1.0535714285714286,2.4334857142857143
13-2072.00,Loan Officers,3.188857142857143,2.6182,5.0,1.685,3.305,1.9449142857142856,2.4079428571428574,3.183542857142857,1.077942857142857,2.5135428571428573
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",2.484342857142857,2.5385714285714283,4.9,1.9724,3.3664,2.607142857142857,2.3750714285714287,3.3240000000000003,1.0664285714285715,2.7449714285714286
13-2082.00,Tax Preparers,2.985842857142857,3.0736000000000003,4.43,1.6945714285714286,3.8152,2.0028571428571427,2.702057142857143,3.4485142857142863,1.0357142857142856,3.044714285714286
13-2099.01,Financial Quantitative Analysts,4.137142857142857,2.225714285714286,4.95,2.626428571428572,3.735357142857143,2.524285714285714,3.2657142857142856,4.075,1.6063428571428573,3.6811428571428566
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.811771428571429,3.0617142857142863,4.76,2.1136,3.7984,2.2928571428571427,2.668571428571428,3.5152,1.1071428571428572,2.829485714285714
